path,label
common_voice_en_17779845.mp3,3
common_voice_en_19112763.mp3,0
common_voice_en_18106782.mp3,1
common_voice_en_17861740.mp3,2
common_voice_en_17387997.mp3,0
common_voice_en_20040327.mp3,0
common_voice_en_18463065.mp3,1
common_voice_en_18971390.mp3,2
common_voice_en_18809867.mp3,0
common_voice_en_18532693.mp3,0
common_voice_en_19791697.mp3,0
common_voice_en_18578952.mp3,2
common_voice_en_18686064.mp3,3
common_voice_en_19091200.mp3,2
common_voice_en_35795.mp3,2
common_voice_en_20044943.mp3,1
common_voice_en_15789476.mp3,2
common_voice_en_18698823.mp3,3
common_voice_en_18330644.mp3,2
common_voice_en_12874.mp3,2
common_voice_en_20026434.mp3,1
common_voice_en_18001349.mp3,0
common_voice_en_17880264.mp3,0
common_voice_en_102829.mp3,1
common_voice_en_18488473.mp3,2
common_voice_en_17253291.mp3,0
common_voice_en_19981308.mp3,3
common_voice_en_18460345.mp3,1
common_voice_en_18985405.mp3,2
common_voice_en_3654466.mp3,1
common_voice_en_18834693.mp3,0
common_voice_en_17279508.mp3,2
common_voice_en_19152097.mp3,1
common_voice_en_218219.mp3,0
common_voice_en_18865199.mp3,0
common_voice_en_18931102.mp3,0
common_voice_en_18893031.mp3,1
common_voice_en_15577791.mp3,3
common_voice_en_19500803.mp3,1
common_voice_en_19772274.mp3,2
common_voice_en_1592311.mp3,0
common_voice_en_20144703.mp3,2
common_voice_en_19766478.mp3,2
common_voice_en_18146136.mp3,0
common_voice_en_18404877.mp3,1
common_voice_en_17392457.mp3,2
common_voice_en_17250207.mp3,3
common_voice_en_18626637.mp3,0
common_voice_en_18699022.mp3,3
common_voice_en_19552511.mp3,0
common_voice_en_19677668.mp3,2
common_voice_en_19636608.mp3,3
common_voice_en_18737877.mp3,1
common_voice_en_19853585.mp3,2
common_voice_en_17279411.mp3,2
common_voice_en_111561.mp3,2
common_voice_en_138936.mp3,1
common_voice_en_19768079.mp3,1
common_voice_en_17421143.mp3,1
common_voice_en_18163687.mp3,0
common_voice_en_18728083.mp3,1
common_voice_en_19062886.mp3,1
common_voice_en_18870457.mp3,0
common_voice_en_18685867.mp3,3
common_voice_en_18667555.mp3,1
common_voice_en_17793819.mp3,0
common_voice_en_26257.mp3,1
common_voice_en_20071163.mp3,1
common_voice_en_19685796.mp3,3
common_voice_en_20070949.mp3,1
common_voice_en_20144729.mp3,2
common_voice_en_19908588.mp3,2
common_voice_en_18524937.mp3,3
